ID,Dut,Pad,CX,CY
645,13,93,-20907.4,34839
646,13,94,-20841.1,35089.1
647,13,95,-20774.5,35092.1
648,13,96,-20704.7,35090
649,14,2,-6990.9,34838.2
650,14,3,-7059.9,34836.6
651,14,5,-7203,34839.7
652,14,7,-7341.7,34837.6
653,14,9,-7481.5,34839.8
654,14,11,-7619.8,34839.9
655,14,13,-7760.4,34841.6
656,14,15,-7900.2,34838.8
657,14,16,-7968.8,34838.9
658,14,17,-8040.8,34840.5
659,14,18,-8110,34838.8
660,14,20,-8251.6,34839.2
661,14,22,-8391.1,34839.7
662,14,24,-8530,34842.7
663,14,26,-8672.8,34840.2
664,14,27,-8741.1,34839.6
665,14,28,-8899.8,34841.8
666,14,29,-8970.8,34839.6
667,14,30,-9041.3,34841.2
668,14,31,-9109.2,34837.4
669,14,32,-9180.6,34842.4
670,14,33,-9248.2,34837.8
671,14,34,-9320.2,34839.1
672,14,35,-9388.4,34839.3
673,14,36,-9459.8,34839.8
674,14,37,-9529,34837.7
675,14,38,-9598.6,34840.6
676,14,39,-9668.8,34839.3
677,14,40,-9740.9,34841.8
678,14,42,-9878.7,34838.9
679,14,44,-10021.3,34841.2
680,14,46,-10159.8,34840
681,14,48,-10300,34842.2
682,14,50,-10438.2,34839.3
683,14,52,-10580.9,34839.2
684,14,54,-10721.1,34840.8
685,14,55,-10786.2,34836.4
686,14,56,-10853.8,34841.5
687,14,57,-11305,34840.6
688,14,58,-11377.5,34841.6
689,14,59,-11444.4,34838
690,14,60,-11516.1,34840.3
691,14,62,-11648.2,34838.3
692,14,63,-11720,34841.9
693,14,64,-11786.2,34839.5
694,14,66,-11921.5,34838.5
695,14,67,-11992.3,34841.4
696,14,69,-12126.9,34837.6
697,14,71,-12265.6,34837.5
698,14,72,-12336,34840.7
699,14,73,-12402.1,34834.9
700,14,74,-12471.1,34840.8
701,14,75,-12540.3,34837.8
702,14,77,-12673.8,34838
703,14,78,-12745.2,34842.7
704,14,79,-12808.6,34840.7
705,14,80,-12880.7,34840.3
706,14,81,-12944.9,34839.1
707,14,82,-13016.9,34841.9
708,14,83,-13084.3,34839.5
709,14,84,-13153,34839.1
710,14,85,-13217.3,34838.3
711,14,86,-13288.3,34840.7
712,14,87,-13359,34840.3
713,14,88,-13423.6,34839.9
714,14,89,-13489.2,34836.4
715,14,91,-13699.1,34837.2
716,14,92,-13766.7,34840.5
717,14,93,-13831.5,34840
718,14,94,-13766.1,35088.6
719,14,95,-13699.8,35091.4
720,14,96,-13629.8,35090.3
721,15,2,81.4,31924.7
722,15,3,16.1,31924.2
723,15,5,-124.3,31923.9
724,15,7,-264.9,31925.8
725,15,9,-406.2,31922.8
726,15,11,-545.5,31924.3
727,15,13,-685.2,31925.2
728,15,15,-824.7,31922.2
729,15,16,-893.9,31924.8
730,15,17,-964.9,31922.6
731,15,18,-1034.8,31925
732,15,20,-1176.3,31923.1
733,15,22,-1313.9,31924.3
734,15,24,-1455.2,31926
735,15,26,-1594.6,31923.5
736,15,27,-1667.5,31921.5
737,15,28,-1823.3,31923.5
738,15,29,-1894.2,31920.5
739,15,30,-1966,31923.8
740,15,31,-2035.8,31923.8
741,15,32,-2103.5,31922.9
742,15,33,-2176,31921.9
743,15,34,-2245.5,31920.9
744,15,35,-2313.3,31922.6
745,15,36,-2384.3,31924.1
746,15,37,-2454.1,31924.8
747,15,38,-2520.7,31924.3
748,15,39,-2591.6,31922.3
749,15,40,-2664.5,31925.4
750,15,42,-2806.7,31920.5
751,15,44,-2942.7,31922.9
752,15,46,-3085,31923.5
753,15,48,-3223,31925.3
754,15,50,-3365.4,31922.2
755,15,52,-3502.4,31924.5
756,15,54,-3644.1,31924.2
757,15,55,-3710.4,31923.2
758,15,56,-3779.1,31921.3
759,15,57,-4239.1,31920.6
760,15,58,-4300.3,31924.6
761,15,59,-4367.7,31919.9
762,15,60,-4438.8,31921.8
763,15,62,-4576.8,31920.2
764,15,63,-4640.7,31921.5
765,15,64,-4710.6,31922.5
766,15,66,-4849.4,31919.9
767,15,67,-4913.2,31923.8
768,15,69,-5051.2,31922.7
769,15,71,-5194.3,31920.9
770,15,72,-5258.4,31923.1
771,15,73,-5327.3,31924.6
772,15,74,-5394.5,31925
773,15,75,-5462.5,31922.7
774,15,77,-5600.4,31923.6
775,15,78,-5668,31920.9
776,15,79,-5737,31921.3
777,15,80,-5803.4,31921.8
778,15,81,-5868.7,31919.5
779,15,82,-5940.5,31921.1
780,15,83,-6007.4,31921.8
781,15,84,-6074,31922.1
782,15,85,-6143.6,31923
783,15,86,-6212.4,31924.3
